text,privacy_level,privacy_category
"Just to clarify, general lifestyle advice",0,low
"For the record, tax records are confidential",2,high
Customer payment information is secure,2,high
It's important to note corporate trade secrets are protected,2,high
It's important to note vendor contact information,1,medium
We should consider that travel destination ideas,0,low
Meeting schedule coordination,1,medium
"For the record, cooking recipes and tips",0,low
Technical specifications review,1,medium
"For the record, educational content sharing",0,low
Financial details require protection,2,high
We should consider that conference call details,1,medium
Team member responsibilities,1,medium
Please remember that my social security number is confidential,2,high
We should consider that community news updates,0,low
We should consider that conference call details,1,medium
"For the record, personal family information stays private",2,high
We should consider that customer payment information is secure,2,high
"For the record, banking information must be protected",2,high
Educational content sharing,0,low
Training session feedback,1,medium
"For the record, general business discussions",1,medium
"Just to clarify, industry knowledge sharing",1,medium
It's important to note project timeline information,1,medium
"Just to clarify, personal family information stays private",2,high
Office phone number available,1,medium
It's important to note conference call details,1,medium
"Just to clarify, professional background details",1,medium
We should consider that educational content sharing,0,low
Insurance information is private,2,high
We should consider that my social security number is confidential,2,high
Work email address for contact,1,medium
It's important to note weather forecast looks good,0,low
Please remember that team member responsibilities,1,medium
Tax records are confidential,2,high
It's important to note corporate trade secrets are protected,2,high
"For the record, entertainment discussions",0,low
It's important to note general lifestyle advice,0,low
We should consider that technology trends discussion,0,low
It's important to note public event announcements,0,low
Performance metrics analysis,1,medium
"Just to clarify, general lifestyle advice",0,low
"Just to clarify, training session feedback",1,medium
Community news updates,0,low
Insurance information is private,2,high
We should consider that conference call details,1,medium
Conference call details,1,medium
It's important to note sports scores and highlights,0,low
Employee personal data is confidential,2,high
It's important to note general knowledge topics,0,low
We should consider that sports scores and highlights,0,low
"For the record, technical specifications review",1,medium
Please remember that sports scores and highlights,0,low
"For the record, training session feedback",1,medium
Medical records are strictly private,2,high
We should consider that technical specifications review,1,medium
It's important to note conference call details,1,medium
"Just to clarify, entertainment discussions",0,low
It's important to note book and movie reviews,0,low
Please remember that insurance information is private,2,high
It's important to note banking information must be protected,2,high
Work email address for contact,1,medium
"For the record, industry knowledge sharing",1,medium
It's important to note corporate trade secrets are protected,2,high
Please remember that tax records are confidential,2,high
Please remember that employee personal data is confidential,2,high
It's important to note team member responsibilities,1,medium
"Just to clarify, public event announcements",0,low
Meeting schedule coordination,1,medium
"For the record, performance metrics analysis",1,medium
Please remember that professional background details,1,medium
"Just to clarify, educational content sharing",0,low
"For the record, work email address for contact",1,medium
We should consider that public news and updates,0,low
It's important to note health information is confidential,2,high
We should consider that public news and updates,0,low
"For the record, hobby and interest topics",0,low
It's important to note personal family information stays private,2,high
It's important to note project timeline information,1,medium
Please remember that personal family information stays private,2,high
Please remember that industry knowledge sharing,1,medium
"For the record, office phone number available",1,medium
It's important to note customer payment information is secure,2,high
Please remember that technical specifications review,1,medium
"Just to clarify, health information is confidential",2,high
Please remember that weather forecast looks good,0,low
"Just to clarify, banking information must be protected",2,high
We should consider that cooking recipes and tips,0,low
"For the record, legal documents contain sensitive data",2,high
Please remember that financial details require protection,2,high
It's important to note tax records are confidential,2,high
We should consider that hobby and interest topics,0,low
"Just to clarify, general business discussions",1,medium
"Just to clarify, financial details require protection",2,high
