text,labels,privacy_level,has_pii,pii_type,variation_id
"Just to clarify, my ssn is 123-45-6789",['SSN'],high,1,SSN,11
"Clearly, this project is going well",[],low,0,none,5
"Obviously, i appreciate your hard work",[],low,0,none,11
"Just to clarify, phone: +1-555-123-4567",['PHONE'],medium,1,PHONE,11
I think please review the documentation,[],low,0,none,7
Remember: My SSN is 123-45-6789,['SSN'],high,1,SSN,5
MY BIRTHDAY IS 12/31/1995,['DOB'],medium,1,DOB,2
Confidential: Email me at john.doe@company.com,['EMAIL'],medium,1,EMAIL,7
It seems like have a wonderful evening,[],low,0,none,3
I think have a wonderful evening,[],low,0,none,9
"Obviously, this project is going well",[],low,0,none,14
Important: Phone: +1-555-123-4567,['PHONE'],medium,1,PHONE,6
Please review the documentation,[],low,0,none,3
Just wanted to say see you next week,[],low,0,none,5
phone: +1-555-123-4567,['PHONE'],medium,1,PHONE,1
Just wanted to say good morning team,[],low,0,none,11
"Clearly, please review the documentation",[],low,0,none,6
For your records: Contact: admin@website.org,['EMAIL'],medium,1,EMAIL,9
"Obviously, the quarterly report looks good",[],low,0,none,8
Important: Account: 1234567890,['ACCOUNT'],high,1,ACCOUNT,6
I think great job on the analysis,[],low,0,none,12
"Clearly, have a wonderful evening",[],low,0,none,12
"Quick reminder that i live at 123 main street, new york, ny 10001",['ADDRESS'],medium,1,ADDRESS,14
"For reference, my name is john smith",['PERSON'],low,1,PERSON,13
"Just to clarify, my medical record number is mr987654",['MEDICAL'],high,1,MEDICAL,11
contact: admin@website.org,['EMAIL'],medium,1,EMAIL,1
It seems like the weather is sunny today,[],low,0,none,13
It seems like let me know if you have questions,[],low,0,none,3
Just wanted to say have a wonderful evening,[],low,0,none,2
"During the meeting, i'm jane doe",['PERSON'],low,1,PERSON,10
Driver's license: DL123456789,['LICENSE'],medium,1,LICENSE,0
"Obviously, i love listening to music",[],low,0,none,14
"Clearly, please review the documentation",[],low,0,none,10
"By the way, let's schedule a team meeting",[],low,0,none,5
"During the meeting, patient id: 12345",['MEDICAL'],high,1,MEDICAL,10
I love listening to music,[],low,0,none,10
"Remember: DOB: March 25, 1985",['DOB'],medium,1,DOB,5
"As mentioned earlier, patient id: 12345",['MEDICAL'],high,1,MEDICAL,12
MY MEDICAL RECORD NUMBER IS MR987654,['MEDICAL'],high,1,MEDICAL,2
"During the meeting, my name is john smith",['PERSON'],low,1,PERSON,10
Quick reminder that contact: 5551234567,['PHONE'],medium,1,PHONE,14
"Obviously, have a wonderful evening",[],low,0,none,5
For your records: Born on 01/15/1990,['DOB'],medium,1,DOB,9
"For reference, credit card: 4532-1234-5678-9012",['CREDIT_CARD'],high,1,CREDIT_CARD,13
It seems like i appreciate your hard work,[],low,0,none,7
"Quick reminder that dob: march 25, 1985",['DOB'],medium,1,DOB,14
"Clearly, i appreciate your hard work",[],low,0,none,10
Quick reminder that license plate: abc-123,['LICENSE_PLATE'],low,1,LICENSE_PLATE,14
"Remember: I live at 123 Main Street, New York, NY 10001",['ADDRESS'],medium,1,ADDRESS,5
"As mentioned earlier, born on 01/15/1990",['DOB'],medium,1,DOB,12
Just wanted to say i love listening to music,[],low,0,none,8
"Obviously, the system is running smoothly",[],low,0,none,14
Please note: This is Dr. Michael Johnson,['PERSON'],low,1,PERSON,4
"By the way, this project is going well",[],low,0,none,6
My email: user123@gmail.com,['EMAIL'],medium,1,EMAIL,0
It seems like the quarterly report looks good,[],low,0,none,6
my birthday is 12/31/1995,['DOB'],medium,1,DOB,1
"By the way, the system is running smoothly",[],low,0,none,2
I think how has your day been?,[],low,0,none,11
I think i love listening to music,[],low,0,none,12
"I LIVE AT 123 MAIN STREET, NEW YORK, NY 10001",['ADDRESS'],medium,1,ADDRESS,2
"During the meeting, social security: 987-65-4321",['SSN'],high,1,SSN,10
Just wanted to say the system is running smoothly,[],low,0,none,13
PATIENT ID: 12345,['MEDICAL'],high,1,MEDICAL,2
"Clearly, the meeting went very well",[],low,0,none,6
I think good morning team,[],low,0,none,3
"Confidential: Address: 456 Oak Avenue, Los Angeles, CA 90210",['ADDRESS'],medium,1,ADDRESS,7
"Just to clarify, my birthday is 12/31/1995",['DOB'],medium,1,DOB,11
Remember: My account number is 9876543210,['ACCOUNT'],high,1,ACCOUNT,5
Phone: +1-555-123-4567,['PHONE'],medium,1,PHONE,0
"Clearly, the deadline is next friday",[],low,0,none,11
"Obviously, i appreciate your hard work",[],low,0,none,3
Quick reminder that phone: +1-555-123-4567,['PHONE'],medium,1,PHONE,14
Remember: Account: 1234567890,['ACCOUNT'],high,1,ACCOUNT,5
My SSN is 123-45-6789,['SSN'],high,1,SSN,0
It seems like how has your day been?,[],low,0,none,0
Quick reminder that my name is john smith,['PERSON'],low,1,PERSON,14
Private: CC: 4000123456789010,['CREDIT_CARD'],high,1,CREDIT_CARD,8
It seems like the presentation was excellent,[],low,0,none,9
"By the way, this solution works perfectly",[],low,0,none,6
It seems like see you next week,[],low,0,none,1
"Just to clarify, patient id: 12345",['MEDICAL'],high,1,MEDICAL,11
Confidential: Contact: 5551234567,['PHONE'],medium,1,PHONE,7
Please note: Contact: admin@website.org,['EMAIL'],medium,1,EMAIL,4
"By the way, the quarterly report looks good",[],low,0,none,9
It seems like have a wonderful evening,[],low,0,none,1
Personal information: My SSN is 123-45-6789,['SSN'],high,1,SSN,3
I think the weather is sunny today,[],low,0,none,10
Please note: Account: 1234567890,['ACCOUNT'],high,1,ACCOUNT,4
"By the way, the system is running smoothly",[],low,0,none,10
"As mentioned earlier, call me at (555) 123-4567",['PHONE'],medium,1,PHONE,12
Confidential: SS# 555-44-3333,['SSN'],high,1,SSN,7
Confidential: Account: 1234567890,['ACCOUNT'],high,1,ACCOUNT,7
"By the way, the quarterly report looks good",[],low,0,none,2
I think good morning team,[],low,0,none,5
It seems like the meeting went very well,[],low,0,none,10
"By the way, i love listening to music",[],low,0,none,7
"Personal information: I live at 123 Main Street, New York, NY 10001",['ADDRESS'],medium,1,ADDRESS,3
I think the quarterly report looks good,[],low,0,none,13
"By the way, the quarterly report looks good",[],low,0,none,3
"Quick reminder that address: 456 oak avenue, los angeles, ca 90210",['ADDRESS'],medium,1,ADDRESS,14
Contact: 5551234567,['PHONE'],medium,1,PHONE,0
I think please review the documentation,[],low,0,none,11
I think the quarterly report looks good,[],low,0,none,12
"During the meeting, phone: +1-555-123-4567",['PHONE'],medium,1,PHONE,10
Quick reminder that call me at (555) 123-4567,['PHONE'],medium,1,PHONE,14
I think i love listening to music,[],low,0,none,5
I think how has your day been?,[],low,0,none,10
Let me know if you have questions,[],low,0,none,2
It seems like the presentation was excellent,[],low,0,none,12
"Confidential: DOB: March 25, 1985",['DOB'],medium,1,DOB,7
Just wanted to say this solution works perfectly,[],low,0,none,1
"For reference, i live at 123 main street, new york, ny 10001",['ADDRESS'],medium,1,ADDRESS,13
"Clearly, this solution works perfectly",[],low,0,none,4
Just wanted to say good morning team,[],low,0,none,8
PHONE: +1-555-123-4567,['PHONE'],medium,1,PHONE,2
Just wanted to say thanks for your assistance,[],low,0,none,14
Just wanted to say how has your day been?,[],low,0,none,1
Important: License plate: ABC-123,['LICENSE_PLATE'],low,1,LICENSE_PLATE,6
Quick reminder that cc: 4000123456789010,['CREDIT_CARD'],high,1,CREDIT_CARD,14
Just wanted to say let's schedule a team meeting,[],low,0,none,0
It seems like thanks for your assistance,[],low,0,none,10
Important: SS# 555-44-3333,['SSN'],high,1,SSN,6
"For your records: I live at 123 Main Street, New York, NY 10001",['ADDRESS'],medium,1,ADDRESS,9
"As mentioned earlier, contact: admin@website.org",['EMAIL'],medium,1,EMAIL,12
See you next week,[],low,0,none,9
It seems like this solution works perfectly,[],low,0,none,8
I think the presentation was excellent,[],low,0,none,0
"By the way, the quarterly report looks good",[],low,0,none,0
The weather is sunny today,[],low,0,none,5
For your records: Email me at john.doe@company.com,['EMAIL'],medium,1,EMAIL,9
driver's license: dl123456789,['LICENSE'],medium,1,LICENSE,1
Just wanted to say the deadline is next friday,[],low,0,none,5
For your records: Phone: +1-555-123-4567,['PHONE'],medium,1,PHONE,9
The system is running smoothly,[],low,0,none,3
Just wanted to say i love listening to music,[],low,0,none,2
Remember: My name is John Smith,['PERSON'],low,1,PERSON,5
"By the way, the meeting went very well",[],low,0,none,14
Please note: Credit card: 4532-1234-5678-9012,['CREDIT_CARD'],high,1,CREDIT_CARD,4
"As mentioned earlier, my home is 789 pine road, unit 4b, chicago il 60601",['ADDRESS'],medium,1,ADDRESS,12
DRIVER'S LICENSE: DL123456789,['LICENSE'],medium,1,LICENSE,2
Personal information: Social Security: 987-65-4321,['SSN'],high,1,SSN,3
Quick reminder that ss# 555-44-3333,['SSN'],high,1,SSN,14
Just wanted to say the meeting went very well,[],low,0,none,1
"For reference, license plate: abc-123",['LICENSE_PLATE'],low,1,LICENSE_PLATE,13
